日期,天气状况,气温,风力风向,地区
2015年1月17日,晴/晴,4℃/-2℃,北风≤3级/南风3-4级,ZD250
2015年1月17日,晴/多云,3℃/0℃,北风4-5级/南风3-4级,ZD190
2015年1月18日,晴/晴,9℃/-2℃,西南风3-4级/西北风3-4级,ZD111
2015年1月18日,多云/晴,10℃/-6℃,南风3-4级/北风3-4级,ZD326
2015年1月18日,多云/晴,9℃/-4℃,南风3-4级/北风3-4级,ZD250
2015年1月18日,多云/晴,8℃/0℃,南风3-4级/西北风5-6级,ZD190
2015年1月19日,晴/多云,10℃/3℃,南风3-4级/南风3-4级,ZD111
2015年1月19日,晴/晴,9℃/-1℃,南风≤3级/南风≤3级,ZD326
2015年1月19日,晴/多云,7℃/-2℃,北风3-4级/南风3-4级,ZD250
2015年1月19日,晴/晴,6℃/2℃,北风4-5级/南风3-4级,ZD190
2015年1月20日,多云/雨夹雪,10℃/-1℃,南风3-4级/北风≤3级,ZD111
2015年1月20日,阴/雨夹雪,9℃/-2℃,南风≤3级/南风≤3级,ZD326
2015年1月20日,晴/雨夹雪,9℃/-1℃,南风3-4级/南风3-4级,ZD250
2015年1月20日,阴/阵雨,7℃/2℃,南风3-4级/南风3-4级,ZD190
2015年1月21日,阴/晴,4℃/-5℃,北风3-4级/北风≤3级,ZD111
2015年1月21日,小雪/晴,1℃/-8℃,东北风3-4级/北风3-4级,ZD326
2015年1月21日,雨夹雪/阴,2℃/-4℃,北风4-5级/北风3-4级,ZD250
2015年1月21日,阵雨/雨夹雪,5℃/-2℃,南风3-4级/北风5-6级,ZD190
2015年1月22日,晴/晴,6℃/0℃,南风≤3级/南风3-4级,ZD111
2015年1月22日,晴/晴,5℃/-6℃,南风≤3级/南风≤3级,ZD326
2015年1月22日,晴/晴,5℃/-5℃,北风3-4级/南风≤3级,ZD250
2015年1月22日,晴/晴,4℃/0℃,北风4-5级/北风3-4级,ZD190
2015年1月23日,晴/多云,11℃/0℃,南风3-4级/南风≤3级,ZD111
2015年1月23日,晴/多云,11℃/-3℃,南风≤3级/南风≤3级,ZD326
2015年1月23日,晴/多云,10℃/-3℃,南风≤3级/东风3-4级,ZD250
2015年1月23日,晴/多云,6℃/0℃,南风3-4级/南风3-4级,ZD190
2015年1月24日,雨夹雪/雨夹雪,7℃/-1℃,东北风≤3级/北风≤3级,ZD111
2015年1月24日,小雨/雨夹雪,8℃/-1℃,东北风≤3级/北风≤3级,ZD326
2015年1月24日,多云/雨夹雪,8℃/1℃,东风≤3级/北风3-4级,ZD250
2015年1月24日,多云/小雨,7℃/4℃,北风3-4级/东南风4-5级,ZD190
2015年1月25日,雾/雾,3℃/-1℃,北风≤3级/北风≤3级,ZD111
2015年1月25日,多云/阴,4℃/-4℃,北风≤3级/北风≤3级,ZD326
2015年1月25日,雨夹雪/多云,4℃/-3℃,北风3-4级/北风3-4级,ZD250
2015年1月25日,阴/雾,7℃/1℃,北风3-4级/北风3-4级,ZD190
2015年1月26日,雾/多云,5℃/-4℃,北风≤3级/北风3-4级,ZD111
2015年1月26日,多云/多云,5℃/-5℃,北风3-4级/北风3-4级,ZD326
2015年1月26日,多云/多云,5℃/-5℃,北风3-4级/北风4-5级,ZD250
2015年1月26日,多云/多云,6℃/-3℃,北风3-4级/东北风4-5级,ZD190
2015年1月27日,多云/多云,1℃/-5℃,北风≤3级/东北风≤3级,ZD111
2015年1月27日,晴/晴,2℃/-9℃,北风≤3级/北风≤3级,ZD326
2015年1月27日,多云/多云,0℃/-6℃,北风4-5级/北风3-4级,ZD250
2015年1月27日,晴/晴,1℃/-4℃,北风5-6级/北风4-5级,ZD190
2015年1月28日,多云/小雪,2℃/-4℃,东北风≤3级/南风≤3级,ZD111
2015年1月28日,晴/阴,2℃/-5℃,北风≤3级/南风≤3级,ZD326
2015年1月28日,多云/多云,1℃/-4℃,北风3-4级/南风≤3级,ZD250
2015年1月28日,多云/阴,1℃/-3℃,北风3-4级/北风3-4级,ZD190
2015年1月29日,阴/多云,3℃/-5℃,南风≤3级/北风≤3级,ZD111
2015年1月29日,多云/多云,2℃/-6℃,北风≤3级/北风3-4级,ZD326
2015年1月29日,多云/多云,3℃/-5℃,北风3-4级/北风3-4级,ZD250
2015年1月29日,阴/多云,1℃/-3℃,北风3-4级/北风4-5级,ZD190
2015年1月30日,晴/晴,2℃/-6℃,北风≤3级/北风≤3级,ZD111
2015年1月30日,晴/晴,2℃/-8℃,北风3-4级/北风≤3级,ZD326
2015年1月30日,晴/晴,2℃/-7℃,北风3-4级/北风3-4级,ZD250
2015年1月30日,晴/多云,1℃/-4℃,北风4-5级/北风3-4级,ZD190
2015年1月31日,晴/多云,3℃/-5℃,南风≤3级/南风≤3级,ZD111
2015年1月31日,晴/晴,3℃/-7℃,南风≤3级/南风≤3级,ZD326
2015年1月31日,晴/晴,2℃/-7℃,北风3-4级/北风3-4级,ZD250
2015年1月31日,晴/晴,2℃/-4℃,北风3-4级/北风3-4级,ZD190
2015年2月1日,多云/多云,5℃/-4℃,南风≤3级/南风≤3级,ZD111
2015年2月1日,多云/多云,5℃/-6℃,南风≤3级/南风≤3级,ZD326
2015年2月1日,晴/晴,4℃/-6℃,南风3-4级/南风3-4级,ZD250
2015年2月1日,晴/多云,2℃/-2℃,北风3-4级/无持续风向≤3级,ZD190
2015年2月2日,多云/多云,6℃/-3℃,南风≤3级/南风≤3级,ZD111
2015年2月2日,多云/多云,6℃/-4℃,南风≤3级/南风≤3级,ZD326
2015年2月2日,晴/晴,6℃/-6℃,南风3-4级/南风≤3级,ZD250
2015年2月2日,晴/多云,5℃/-1℃,无持续风向≤3级/南风3-4级,ZD190
2015年2月3日,多云/霾,6℃/-3℃,西南风≤3级/北风≤3级,ZD111
2015年2月3日,多云/多云,6℃/-4℃,南风≤3级/北风≤3级,ZD326
2015年2月3日,多云/多云,5℃/-3℃,北风3-4级/北风3-4级,ZD250
2015年2月3日,多云/多云,6℃/-1℃,北风3-4级/北风3-4级,ZD190
2015年2月4日,晴/晴,4℃/-4℃,北风3-4级/北风≤3级,ZD111
2015年2月4日,晴/晴,4℃/-6℃,北风≤3级/北风3-4级,ZD326
2015年2月4日,多云/多云,4℃/-4℃,北风3-4级/北风3-4级,ZD250
2015年2月4日,晴/多云,4℃/-2℃,北风3-4级/北风5-6级,ZD190
2015年2月5日,晴/晴,6℃/-1℃,北风≤3级/南风≤3级,ZD111
2015年2月5日,晴/晴,4℃/-5℃,北风≤3级/北风≤3级,ZD326
2015年2月5日,多云/晴,4℃/-5℃,北风3-4级/北风3-4级,ZD250
2015年2月5日,晴/晴,3℃/-1℃,西北风4-5级/西北风3-4级,ZD190
2015年2月6日,晴/多云,8℃/-1℃,南风3-4级/南风3-4级,ZD111
2015年2月6日,晴/多云,8℃/-4℃,南风≤3级/南风≤3级,ZD326
2015年2月6日,多云/多云,8℃/-2℃,南风3-4级/南风3-4级,ZD250
2015年2月6日,晴/多云,6℃/-1℃,南风3-4级/南风3-4级,ZD190
2015年2月7日,多云/晴,4℃/-7℃,北风3-4级/北风3-4级,ZD111
2015年2月7日,多云/晴,4℃/-9℃,北风3-4级/北风≤3级,ZD326
2015年2月7日,多云/多云,3℃/-7℃,南风3-4级/北风4-5级,ZD250
2015年2月7日,晴/多云,6℃/-5℃,西南风3-4级/北风5-6级,ZD190
2015年2月8日,晴/晴,2℃/-5℃,北风≤3级/南风≤3级,ZD111
2015年2月8日,晴/晴,2℃/-7℃,北风≤3级/南风3-4级,ZD326
2015年2月8日,晴/晴,1℃/-8℃,北风3-4级/北风3-4级,ZD250
2015年2月8日,晴/晴,0℃/-6℃,北风4-5级/北风3-4级,ZD190
2015年2月9日,晴/晴,8℃/2℃,南风3-4级/南风3-4级,ZD111
2015年2月9日,晴/晴,7℃/-3℃,南风3-4级/西南风3-4级,ZD326
2015年2月9日,晴/晴,8℃/-3℃,南风3-4级/南风3-4级,ZD250
2015年2月9日,晴/晴,5℃/0℃,西风3-4级/西南风3-4级,ZD190
2015年2月10日,晴/晴,12℃/1℃,南风3-4级/南风≤3级,ZD111
2015年2月10日,晴/晴,12℃/-1℃,西南风3-4级/南风≤3级,ZD326
2015年2月10日,晴/晴,13℃/-2℃,南风3-4级/南风3-4级,ZD250
2015年2月10日,晴/晴,8℃/2℃,西南风3-4级/西南风3-4级,ZD190
2015年2月11日,晴/晴,9℃/-2℃,北风3-4级/东北风≤3级,ZD111
2015年2月11日,晴/晴,9℃/-5℃,北风≤3级/北风≤3级,ZD326
2015年2月11日,多云/晴,10℃/-4℃,北风3-4级/北风3-4级,ZD250
2015年2月11日,多云/晴,6℃/-1℃,北风3-4级/北风3-4级,ZD190
2015年2月12日,多云/多云,8℃/-1℃,东北风≤3级/北风≤3级,ZD111
2015年2月12日,晴/多云,7℃/-5℃,南风≤3级/南风≤3级,ZD326
2015年2月12日,多云/多云,5℃/-5℃,北风3-4级/南风3-4级,ZD250
2015年2月12日,晴/多云,6℃/-1℃,北风3-4级/南风3-4级,ZD190
2015年2月13日,晴/晴,12℃/7℃,南风≤3级/南风3-4级,ZD111
2015年2月13日,晴/晴,12℃/4℃,南风≤3级/南风3-4级,ZD326
2015年2月13日,晴/晴,12℃/1℃,南风3-4级/南风3-4级,ZD250
2015年2月13日,晴/晴,7℃/3℃,南风3-4级/南风3-4级,ZD190
2015年2月14日,多云/小雨,18℃/6℃,南风3-4级/南风≤3级,ZD111
2015年2月14日,多云/小雨,18℃/6℃,南风3-4级/南风3-4级,ZD326
2015年2月14日,晴/阴,16℃/4℃,南风3-4级/南风3-4级,ZD250
2015年2月14日,晴/阵雨,9℃/6℃,南风3-4级/南风4-5级,ZD190
2015年2月15日,小雨/雾,9℃/3℃,北风≤3级/北风≤3级,ZD111
2015年2月15日,小雨/阴,9℃/3℃,南风3-4级/北风≤3级,ZD326
2015年2月15日,小雨/阵雨,10℃/3℃,北风3-4级/北风3-4级,ZD250
2015年2月15日,小雨/阵雨,9℃/5℃,南风3-4级/北风5-6级,ZD190
2015年2月16日,雾/晴,11℃/1℃,北风3-4级/北风≤3级,ZD111
2015年2月16日,晴/晴,11℃/-2℃,北风≤3级/北风3-4级,ZD326
2015年2月16日,多云/晴,10℃/-1℃,北风3-4级/北风3-4级,ZD250
2015年2月16日,多云/晴,9℃/1℃,北风4-5级/北风4-5级,ZD190
2015年2月17日,晴/晴,12℃/0℃,东北风≤3级/北风≤3级,ZD111
2015年2月17日,晴/晴,11℃/-4℃,北风3-4级/北风≤3级,ZD326
2015年2月17日,晴/晴,9℃/-3℃,北风3-4级/北风3-4级,ZD250
2015年2月17日,晴/晴,9℃/-1℃,北风3-4级/北风4-5级,ZD190
2015年2月18日,晴/晴,10℃/-1℃,北风≤3级/南风≤3级,ZD111
2015年2月18日,晴/晴,10℃/-6℃,北风≤3级/北风≤3级,ZD326
2015年2月18日,晴/晴,7℃/-5℃,北风≤3级/北风3-4级,ZD250
2015年2月18日,晴/晴,7℃/-2℃,北风4-5级/北风3-4级,ZD190
2015年2月19日,晴/阴,9℃/3℃,南风≤3级/东南风≤3级,ZD111
2015年2月19日,多云/多云,10℃/2℃,南风≤3级/南风≤3级,ZD326
2015年2月19日,晴/多云,7℃/0℃,北风3-4级/南风3-4级,ZD250
2015年2月19日,晴/多云,6℃/2℃,北风3-4级/南风3-4级,ZD190
2015年2月20日,小雨/小雨,7℃/2℃,东南风≤3级/北风≤3级,ZD111
2015年2月20日,小雨/小雨,7℃/2℃,南风≤3级/南风≤3级,ZD326
2015年2月20日,小雨/小雨,7℃/2℃,南风3-4级/南风3-4级,ZD250
2015年2月20日,阴/小雨,6℃/4℃,东南风4-5级/东南风4-5级,ZD190
2015年2月21日,多云/晴,11℃/-2℃,北风3-4级/北风≤3级,ZD111
2015年2月21日,多云/多云,10℃/-6℃,北风≤3级/北风3-4级,ZD326
2015年2月21日,多云/多云,11℃/-3℃,北风3-4级/北风3-4级,ZD250
2015年2月21日,雾/多云,8℃/-1℃,北风3-4级/北风4-5级,ZD190
2015年2月22日,晴/晴,7℃/-2℃,北风≤3级/北风≤3级,ZD111
2015年2月22日,多云/晴,7℃/-6℃,北风3-4级/北风≤3级,ZD326
2015年2月22日,多云/晴,6℃/-4℃,北风3-4级/北风3-4级,ZD250
2015年2月22日,多云/晴,4℃/-1℃,北风5-6级/北风3-4级,ZD190
2015年2月23日,晴/多云,8℃/1℃,南风≤3级/南风≤3级,ZD111
2015年2月23日,晴/晴,8℃/-4℃,北风≤3级/南风3-4级,ZD326
2015年2月23日,晴/晴,8℃/-5℃,北风≤3级/北风3-4级,ZD250
2015年2月23日,晴/多云,6℃/2℃,北风3-4级/南风3-4级,ZD190
2015年2月24日,晴/多云,13℃/3℃,南风3-4级/南风3-4级,ZD111
2015年2月24日,多云/阴,13℃/3℃,南风3-4级/南风3-4级,ZD326
2015年2月24日,晴/小雨,12℃/2℃,南风3-4级/南风3-4级,ZD250
2015年2月24日,晴/多云,7℃/3℃,南风3-4级/南风4-5级,ZD190
2015年2月25日,多云/多云,10℃/-2℃,北风3-4级/北风≤3级,ZD111
2015年2月25日,多云/晴,10℃/-5℃,北风3-4级/北风3-4级,ZD326
2015年2月25日,多云/多云,10℃/-3℃,北风3-4级/北风3-4级,ZD250
2015年2月25日,阴/多云,9℃/-1℃,南风4-5级/北风5-6级,ZD190
2015年2月26日,晴/多云,9℃/0℃,北风≤3级/东北风≤3级,ZD111
2015年2月26日,晴/晴,7℃/-4℃,北风3-4级/东北风≤3级,ZD326
2015年2月26日,晴/晴,7℃/-4℃,北风3-4级/东北风3-4级,ZD250
2015年2月26日,晴/晴,6℃/-1℃,北风4-5级/北风3-4级,ZD190
2015年2月27日,多云/小雪,7℃/-1℃,东北风≤3级/北风≤3级,ZD111
2015年2月27日,多云/多云,7℃/-1℃,东北风≤3级/东北风≤3级,ZD326
2015年2月27日,多云/多云,5℃/-2℃,东风3-4级/北风≤3级,ZD250
2015年2月27日,多云/多云,5℃/0℃,东北风3-4级/东风3-4级,ZD190
2015年2月28日,小雪/晴,6℃/-1℃,南风≤3级/南风≤3级,ZD111
2015年2月28日,雨夹雪/晴,6℃/-3℃,东北风≤3级/北风≤3级,ZD326
2015年2月28日,雨夹雪/多云,5℃/-1℃,南风≤3级/南风3-4级,ZD250
2015年2月28日,阴/阴,4℃/0℃,东北风3-4级/北风3-4级,ZD190
2015年3月1日,晴/晴,12℃/7℃,南风≤3级/西南风3-4级,ZD111
2015年3月1日,晴/晴,11℃/2℃,北风≤3级/南风3-4级,ZD326
2015年3月1日,晴/晴,11℃/1℃,北风3-4级/西南风3-4级,ZD250
2015年3月1日,晴/晴,8℃/3℃,北风4-5级/南风3-4级,ZD190
2015年3月2日,晴/多云,16℃/1℃,西南风4-5级/西南风4-5级,ZD111
2015年3月2日,晴/多云,16℃/-3℃,南风3-4级/南风3-4级,ZD326
2015年3月2日,晴/晴,15℃/-1℃,南风3-4级/北风4-5级,ZD250
2015年3月2日,晴/多云,9℃/0℃,南风4-5级/南风4-5级,ZD190
2015年3月3日,多云/晴,6℃/-4℃,北风4-5级/北风3-4级,ZD111
2015年3月3日,多云/晴,4℃/-7℃,北风4-5级/北风3-4级,ZD326
2015年3月3日,多云/多云,4℃/-5℃,北风4-5级/北风4-5级,ZD250
2015年3月3日,多云/晴,5℃/-3℃,北风6-7级/北风4-5级,ZD190
2015年3月4日,晴/多云,6℃/-2℃,北风≤3级/南风≤3级,ZD111
2015年3月4日,晴/晴,6℃/-5℃,北风≤3级/南风≤3级,ZD326
2015年3月4日,晴/晴,6℃/-5℃,北风3-4级/北风3-4级,ZD250
2015年3月4日,晴/多云,5℃/-1℃,北风4-5级/北风3-4级,ZD190
2015年3月5日,多云/多云,8℃/2℃,南风≤3级/南风3-4级,ZD111
2015年3月5日,晴/晴,9℃/-1℃,南风≤3级/南风≤3级,ZD326
2015年3月5日,晴/晴,7℃/-3℃,南风3-4级/南风3-4级,ZD250
2015年3月5日,多云/多云,4℃/0℃,北风3-4级/南风3-4级,ZD190
2015年3月6日,晴/晴,12℃/5℃,南风3-4级/南风3-4级,ZD111
2015年3月6日,晴/晴,12℃/3℃,南风≤3级/南风3-4级,ZD326
2015年3月6日,晴/晴,12℃/0℃,南风3-4级/南风3-4级,ZD250
2015年3月6日,晴/晴,7℃/3℃,南风3-4级/西南风3-4级,ZD190
2015年3月7日,晴/晴,15℃/7℃,南风3-4级/南风3-4级,ZD111
2015年3月7日,晴/晴,16℃/5℃,南风3-4级/南风3-4级,ZD326
2015年3月7日,晴/晴,15℃/3℃,南风3-4级/南风3-4级,ZD250
2015年3月7日,晴/晴,8℃/4℃,南风3-4级/南风3-4级,ZD190
2015年3月8日,多云/多云,13℃/0℃,南风3-4级/北风3-4级,ZD111
2015年3月8日,多云/多云,13℃/-2℃,南风3-4级/北风4-5级,ZD326
2015年3月8日,多云/多云,13℃/-3℃,南风3-4级/北风3-4级,ZD250
2015年3月8日,多云/阴,8℃/0℃,南风3-4级/北风5-6级,ZD190
2015年3月9日,多云/晴,6℃/-4℃,北风3-4级/南风≤3级,ZD111
2015年3月9日,晴/晴,6℃/-7℃,北风3-4级/北风3-4级,ZD326
2015年3月9日,晴/晴,8℃/-5℃,北风4-5级/北风3-4级,ZD250
2015年3月9日,晴/晴,4℃/-3℃,北风5-6级/北风5-6级,ZD190
2015年3月10日,晴/晴,9℃/-1℃,南风≤3级/南风3-4级,ZD111
2015年3月10日,晴/晴,8℃/-3℃,南风3-4级/南风3-4级,ZD326
2015年3月10日,晴/晴,8℃/-3℃,北风3-4级/南风3-4级,ZD250
2015年3月10日,晴/晴,5℃/-3℃,西北风3-4级/西北风3-4级,ZD190
2015年3月11日,晴/晴,12℃/3℃,南风≤3级/南风≤3级,ZD111
2015年3月11日,晴/晴,12℃/-1℃,北风≤3级/南风≤3级,ZD326
2015年3月11日,晴/晴,11℃/-2℃,北风3-4级/南风3-4级,ZD250
2015年3月11日,晴/晴,10℃/1℃,北风3-4级/南风3-4级,ZD190
2015年3月12日,晴/晴,17℃/5℃,西南风3-4级/北风≤3级,ZD111
2015年3月12日,晴/晴,16℃/0℃,南风≤3级/北风≤3级,ZD326
2015年3月12日,晴/晴,16℃/1℃,南风3-4级/北风3-4级,ZD250
2015年3月12日,晴/多云,9℃/3℃,南风3-4级/南风3-4级,ZD190
2015年3月13日,晴/霾,15℃/4℃,北风≤3级/东风≤3级,ZD111
2015年3月13日,晴/晴,15℃/0℃,北风≤3级/南风3-4级,ZD326
2015年3月13日,晴/晴,14℃/1℃,北风3-4级/北风3-4级,ZD250
2015年3月13日,晴/晴,10℃/3℃,北风3-4级/北风3-4级,ZD190
2015年3月14日,多云/晴,17℃/8℃,南风3-4级/南风3-4级,ZD111
2015年3月14日,晴/多云,17℃/4℃,南风3-4级/南风3-4级,ZD326
2015年3月14日,晴/多云,14℃/4℃,南风3-4级/南风3-4级,ZD250
2015年3月14日,多云/多云,9℃/4℃,南风3-4级/南风4-5级,ZD190
2015年3月15日,晴/晴,19℃/12℃,南风≤3级/南风3-4级,ZD111
2015年3月15日,多云/晴,19℃/8℃,南风3-4级/南风3-4级,ZD326
2015年3月15日,晴/晴,18℃/7℃,北风3-4级/南风3-4级,ZD250
2015年3月15日,晴/多云,13℃/6℃,南风3-4级/南风3-4级,ZD190
2015年3月16日,晴/多云,22℃/9℃,南风3-4级/南风3-4级,ZD111
2015年3月16日,晴/多云,23℃/7℃,南风3-4级/南风3-4级,ZD326
2015年3月16日,晴/多云,23℃/10℃,南风3-4级/南风3-4级,ZD250
2015年3月16日,雾/雾,9℃/7℃,南风3-4级/南风3-4级,ZD190
2015年3月17日,阵雨/阴,15℃/6℃,北风3-4级/东北风3-4级,ZD111
2015年3月17日,小雨/阴,14℃/5℃,北风3-4级/北风3-4级,ZD326
2015年3月17日,小雨/小雨,14℃/5℃,北风3-4级/北风3-4级,ZD250
2015年3月17日,阴/小雨,11℃/7℃,东南风3-4级/北风3-4级,ZD190
2015年3月18日,阴/多云,13℃/5℃,北风≤3级/南风≤3级,ZD111
2015年3月18日,多云/多云,13℃/3℃,北风≤3级/北风≤3级,ZD326
2015年3月18日,阴/多云,12℃/2℃,北风3-4级/北风≤3级,ZD250
2015年3月18日,阵雨/多云,11℃/5℃,北风3-4级/北风3-4级,ZD190
2015年3月19日,多云/多云,18℃/8℃,南风≤3级/南风≤3级,ZD111
2015年3月19日,多云/多云,18℃/6℃,南风≤3级/南风≤3级,ZD326
2015年3月19日,多云/多云,18℃/6℃,南风≤3级/南风≤3级,ZD250
2015年3月19日,晴/多云,16℃/8℃,北风3-4级/南风3-4级,ZD190
2015年3月20日,晴/多云,21℃/9℃,南风≤3级/南风≤3级,ZD111
2015年3月20日,多云/多云,22℃/8℃,南风≤3级/南风≤3级,ZD326
2015年3月20日,多云/多云,22℃/7℃,南风3-4级/南风3-4级,ZD250
2015年3月20日,晴/多云,19℃/9℃,北风3-4级/南风3-4级,ZD190
2015年3月21日,晴/晴,20℃/7℃,北风≤3级/北风≤3级,ZD111
2015年3月21日,多云/晴,19℃/3℃,北风≤3级/南风3-4级,ZD326
2015年3月21日,晴/晴,17℃/4℃,北风3-4级/北风≤3级,ZD250
2015年3月21日,晴/晴,17℃/6℃,北风4-5级/北风4-5级,ZD190
2015年3月22日,多云/多云,14℃/4℃,东北风3-4级/东北风≤3级,ZD111
2015年3月22日,多云/晴,10℃/0℃,北风3-4级/北风3-4级,ZD326
2015年3月22日,晴/晴,11℃/1℃,北风3-4级/北风3-4级,ZD250
2015年3月22日,晴/霾,13℃/5℃,东北风4-5级/北风3-4级,ZD190
2015年3月23日,多云/晴,16℃/6℃,北风≤3级/南风≤3级,ZD111
2015年3月23日,晴/晴,16℃/3℃,北风≤3级/南风≤3级,ZD326
2015年3月23日,多云/晴,17℃/3℃,北风3-4级/南风3-4级,ZD250
2015年3月23日,多云/晴,13℃/5℃,南风3-4级/南风3-4级,ZD190
2015年3月24日,晴/晴,19℃/9℃,南风≤3级/南风≤3级,ZD111
2015年3月24日,晴/晴,19℃/6℃,南风≤3级/南风3-4级,ZD326
2015年3月24日,晴/晴,19℃/5℃,南风3-4级/南风3-4级,ZD250
