"日期","天气状况","气温","风力风向","地区"
"2015年03月09日","多云/晴","6℃/-4℃","北风3-4级/南风≤3级","ZD111"
"2015年03月10日","晴/晴","9℃/-1℃","南风≤3级/南风3-4级","ZD111"
"2015年03月11日","晴/晴","12℃/3℃","南风≤3级/南风≤3级","ZD111"
"2015年03月12日","晴/晴","17℃/5℃","西南风3-4级/北风≤3级","ZD111"
"2015年03月13日","晴/霾","15℃/4℃","北风≤3级/东风≤3级","ZD111"
"2015年03月14日","多云/晴","17℃/8℃","南风3-4级/南风3-4级","ZD111"
"2015年03月15日","晴/晴","19℃/12℃","南风≤3级/南风3-4级","ZD111"
"2015年03月16日","晴/多云","22℃/9℃","南风3-4级/南风3-4级","ZD111"
"2015年03月17日","阵雨/阴","15℃/6℃","北风3-4级/东北风3-4级","ZD111"
"2015年03月18日","阴/多云","13℃/5℃","北风≤3级/南风≤3级","ZD111"
"2015年03月19日","多云/多云","18℃/8℃","南风≤3级/南风≤3级","ZD111"
"2015年03月20日","晴/多云","21℃/9℃","南风≤3级/南风≤3级","ZD111"
"2015年03月21日","晴/晴","20℃/7℃","北风≤3级/北风≤3级","ZD111"
"2015年03月22日","多云/多云","14℃/4℃","东北风3-4级/东北风≤3级","ZD111"
"2015年03月23日","多云/晴","16℃/6℃","北风≤3级/南风≤3级","ZD111"
"2015年03月24日","晴/晴","19℃/9℃","南风≤3级/南风≤3级","ZD111"
"2015年03月25日","晴/晴","20℃/9℃","南风≤3级/南风≤3级","ZD111"
"2015年03月26日","多云/晴","20℃/9℃","南风≤3级/南风≤3级","ZD111"
"2015年03月27日","晴/晴","21℃/15℃","南风≤3级/南风4-5级","ZD111"
"2015年03月28日","晴/晴","25℃/12℃","南风3-4级/北风≤3级","ZD111"
"2015年03月29日","晴/晴","25℃/16℃","南风≤3级/南风3-4级","ZD111"
"2015年03月30日","多云/多云","27℃/13℃","南风3-4级/南风3-4级","ZD111"
"2015年03月31日","小雨/小雨","20℃/7℃","东北风4-5级/东北风4-5级","ZD111"
"2015年04月01日","阴/中雨","12℃/5℃","东北风4-5级/东北风3-4级","ZD111"
"2015年04月02日","小雨/阴","10℃/6℃","东北风3-4级/北风≤3级","ZD111"
"2015年04月03日","晴/多云","16℃/6℃","北风≤3级/北风≤3级","ZD111"
"2015年04月04日","多云/多云","17℃/7℃","北风≤3级/北风≤3级","ZD111"
"2015年04月05日","多云/多云","16℃/6℃","北风≤3级/北风3-4级","ZD111"
"2015年04月06日","多云/多云","13℃/3℃","北风3-4级/北风≤3级","ZD111"
"2015年04月07日","晴/晴","13℃/3℃","北风≤3级/南风≤3级","ZD111"
"2015年04月08日","晴/多云","16℃/7℃","南风3-4级/南风3-4级","ZD111"
"2015年04月09日","阴/多云","17℃/9℃","南风3-4级/南风3-4级","ZD111"
"2015年04月10日","晴/晴","21℃/13℃","南风≤3级/南风≤3级","ZD111"
"2015年04月11日","多云/雷阵雨","23℃/2℃","南风4-5级/南风4-5级","ZD111"
"2015年04月12日","雨夹雪/雨夹雪","9℃/1℃","北风4-5级/北风4-5级","ZD111"
"2015年04月13日","小雨/晴","12℃/4℃","北风4-5级/北风≤3级","ZD111"
"2015年04月14日","晴/晴","21℃/14℃","南风3-4级/南风3-4级","ZD111"
"2015年04月15日","多云/晴","27℃/13℃","南风4-5级/南风3-4级","ZD111"
"2015年04月16日","晴/晴","23℃/11℃","北风3-4级/南风≤3级","ZD111"
"2015年04月17日","晴/多云","24℃/13℃","南风≤3级/南风≤3级","ZD111"
"2015年04月18日","小雨/中雨","21℃/10℃","东北风3-4级/东北风3-4级","ZD111"
"2015年04月19日","小雨/多云","13℃/6℃","北风3-4级/北风≤3级","ZD111"
"2015年04月20日","晴/晴","20℃/10℃","北风≤3级/南风≤3级","ZD111"
"2015年04月21日","晴/晴","23℃/12℃","南风3-4级/北风3-4级","ZD111"
"2015年04月22日","晴/晴","26℃/16℃","北风≤3级/南风3-4级","ZD111"
"2015年04月23日","晴/晴","30℃/15℃","南风4-5级/东北风≤3级","ZD111"
"2015年04月24日","晴/晴","27℃/17℃","东北风≤3级/南风≤3级","ZD111"
"2015年04月25日","晴/晴","30℃/21℃","南风3-4级/南风3-4级","ZD111"
"2015年04月26日","晴/多云","31℃/22℃","南风3-4级/南风3-4级","ZD111"
"2015年04月27日","多云/雷阵雨","30℃/15℃","南风3-4级/南风3-4级","ZD111"
"2015年04月28日","雷阵雨/多云","25℃/13℃","东北风3-4级/东北风≤3级","ZD111"
"2015年04月29日","晴/晴","25℃/15℃","东北风≤3级/南风≤3级","ZD111"
"2015年04月30日","晴/晴","28℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年05月01日","多云/小雨","29℃/16℃","南风3-4级/南风≤3级","ZD111"
"2015年05月02日","多云/晴","24℃/15℃","北风≤3级/南风≤3级","ZD111"
"2015年05月03日","晴/多云","24℃/13℃","北风≤3级/北风3-4级","ZD111"
"2015年05月04日","晴/晴","24℃/16℃","北风3-4级/南风3-4级","ZD111"
"2015年05月05日","多云/雷阵雨","29℃/15℃","南风4-5级/东北风3-4级","ZD111"
"2015年05月06日","雷阵雨/雷阵雨","25℃/15℃","东北风3-4级/东北风≤3级","ZD111"
"2015年05月07日","阴/多云","24℃/16℃","北风≤3级/南风≤3级","ZD111"
"2015年05月08日","多云/多云","26℃/14℃","南风≤3级/南风≤3级","ZD111"
"2015年05月09日","雷阵雨/多云","20℃/14℃","东北风≤3级/北风≤3级","ZD111"
"2015年05月10日","雷阵雨/小到中雨","25℃/11℃","南风3-4级/北风3-4级","ZD111"
"2015年05月11日","小雨/晴","19℃/11℃","北风≤3级/西南风3-4级","ZD111"
"2015年05月12日","晴/晴","26℃/17℃","西南风4-5级/西南风4-5级","ZD111"
"2015年05月13日","晴/晴","31℃/21℃","西南风4-5级/西南风3-4级","ZD111"
"2015年05月14日","多云/多云","26℃/16℃","北风3-4级/东北风≤3级","ZD111"
"2015年05月15日","多云/晴","25℃/14℃","东北风3-4级/南风≤3级","ZD111"
"2015年05月16日","晴/晴","27℃/20℃","南风≤3级/南风3-4级","ZD111"
"2015年05月17日","多云/多云","30℃/23℃","西南风4-5级/南风4-5级","ZD111"
"2015年05月18日","晴/晴","30℃/19℃","北风≤3级/北风≤3级","ZD111"
"2015年05月19日","晴/晴","27℃/15℃","北风3-4级/北风≤3级","ZD111"
"2015年05月20日","晴/晴","27℃/17℃","北风≤3级/南风≤3级","ZD111"
"2015年05月21日","多云/多云","26℃/18℃","南风3-4级/南风≤3级","ZD111"
"2015年05月22日","多云/多云","28℃/18℃","南风3-4级/南风≤3级","ZD111"
"2015年05月23日","晴/晴","30℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年05月24日","晴/晴","32℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年05月25日","晴/晴","33℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年05月26日","晴/多云","32℃/21℃","南风3-4级/南风≤3级","ZD111"
"2015年05月27日","多云/晴","31℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年05月28日","多云/多云","31℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年05月29日","雷阵雨/多云","27℃/19℃","南风≤3级/北风≤3级","ZD111"
"2015年05月30日","晴/晴","31℃/22℃","南风≤3级/南风3-4级","ZD111"
"2015年05月31日","晴/多云","33℃/25℃","南风4-5级/南风4-5级","ZD111"
"2015年06月01日","多云/多云","33℃/25℃","南风3-4级/南风≤3级","ZD111"
"2015年06月02日","多云/多云","32℃/20℃","北风3-4级/北风3-4级","ZD111"
"2015年06月03日","多云/多云","32℃/21℃","北风≤3级/南风3-4级","ZD111"
"2015年06月04日","多云/多云","28℃/20℃","南风4-5级/南风4-5级","ZD111"
"2015年06月05日","晴/晴","34℃/26℃","南风3-4级/南风4-5级","ZD111"
"2015年06月06日","晴/多云","36℃/26℃","南风3-4级/南风3-4级","ZD111"
"2015年06月07日","晴/雷阵雨","34℃/19℃","南风≤3级/北风≤3级","ZD111"
"2015年06月08日","晴/晴","31℃/21℃","北风≤3级/南风≤3级","ZD111"
"2015年06月09日","晴/晴","36℃/20℃","南风3-4级/南风4-5级","ZD111"
"2015年06月10日","雷阵雨/雷阵雨","34℃/19℃","南风4-5级/北风3-4级","ZD111"
"2015年06月11日","多云/晴","32℃/22℃","北风3-4级/西风≤3级","ZD111"
"2015年06月12日","晴/多云","34℃/20℃","南风≤3级/北风≤3级","ZD111"
"2015年06月13日","晴/晴","31℃/19℃","北风3-4级/北风3-4级","ZD111"
"2015年06月14日","晴/多云","31℃/20℃","北风≤3级/南风≤3级","ZD111"
"2015年06月15日","多云/多云","33℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年06月16日","晴/多云","34℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年06月17日","多云/多云","35℃/24℃","南风≤3级/北风≤3级","ZD111"
"2015年06月18日","多云/多云","32℃/19℃","东北风3-4级/北风≤3级","ZD111"
"2015年06月19日","雷阵雨/阴","29℃/18℃","北风≤3级/北风≤3级","ZD111"
"2015年06月20日","多云/多云","30℃/19℃","北风≤3级/南风≤3级","ZD111"
"2015年06月21日","晴/多云","31℃/21℃","南风≤3级/南风≤3级","ZD111"
"2015年06月22日","多云/多云","32℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年06月23日","多云/阴","32℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年06月24日","小雨/小雨","28℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年06月25日","小雨/阴","26℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年06月26日","晴/晴","31℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年06月27日","多云/多云","32℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年06月28日","多云/阴","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年06月29日","小雨/小雨","25℃/20℃","南风≤3级/东北风≤3级","ZD111"
"2015年06月30日","阴/多云","27℃/19℃","北风≤3级/东北风≤3级","ZD111"
"2015年07月01日","晴/晴","34℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年07月02日","多云/晴","32℃/21℃","北风≤3级/北风≤3级","ZD111"
"2015年07月03日","晴/晴","33℃/21℃","北风≤3级/南风≤3级","ZD111"
"2015年07月04日","晴/多云","33℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月05日","多云/多云","32℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月06日","雷阵雨/阴","31℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月07日","多云/晴","32℃/22℃","南风≤3级/东南风≤3级","ZD111"
"2015年07月08日","晴/晴","33℃/22℃","东南风≤3级/东南风≤3级","ZD111"
"2015年07月09日","晴/多云","33℃/24℃","东风≤3级/东南风≤3级","ZD111"
"2015年07月10日","多云/阵雨","31℃/24℃","东南风≤3级/南风≤3级","ZD111"
"2015年07月11日","阵雨/阵雨","31℃/24℃","东风≤3级/东北风3-4级","ZD111"
"2015年07月12日","多云/晴","33℃/26℃","东北风3-4级/南风≤3级","ZD111"
"2015年07月13日","晴/多云","38℃/29℃","南风3-4级/南风3-4级","ZD111"
"2015年07月14日","晴/多云","38℃/25℃","南风≤3级/南风≤3级","ZD111"
"2015年07月15日","多云/多云","34℃/23℃","南风≤3级/北风≤3级","ZD111"
"2015年07月16日","阴/阴","30℃/22℃","北风≤3级/南风≤3级","ZD111"
"2015年07月17日","阴/雷阵雨","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月18日","雷阵雨/雷阵雨","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月19日","阴/多云","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年07月20日","雷阵雨/多云","30℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年07月21日","多云/多云","32℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年07月22日","雷阵雨/雷阵雨","32℃/21℃","南风≤3级/南风≤3级","ZD111"
"2015年07月23日","小到中雨/雷阵雨","30℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年07月24日","雷阵雨/多云","32℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年07月25日","雷阵雨/晴","33℃/25℃","南风≤3级/南风≤3级","ZD111"
"2015年07月26日","晴/晴","35℃/26℃","南风≤3级/南风≤3级","ZD111"
"2015年07月27日","晴/晴","36℃/27℃","南风≤3级/南风3-4级","ZD111"
"2015年07月28日","雷阵雨/雷阵雨","35℃/26℃","南风3-4级/南风≤3级","ZD111"
"2015年07月29日","雷阵雨/中雨","35℃/25℃","南风≤3级/南风≤3级","ZD111"
"2015年07月30日","中雨/雷阵雨","33℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年07月31日","雷阵雨/阴","30℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年08月01日","雷阵雨/多云","32℃/27℃","南风≤3级/南风3-4级","ZD111"
"2015年08月02日","多云/多云","35℃/25℃","南风3-4级/南风3-4级","ZD111"
"2015年08月03日","大雨/暴雨","34℃/23℃","南风3-4级/南风≤3级","ZD111"
"2015年08月04日","阵雨/多云","28℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年08月05日","雷阵雨/中到大雨","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年08月06日","小雨/多云","28℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年08月07日","多云/多云","31℃/23℃","南风≤3级/东南风≤3级","ZD111"
"2015年08月08日","雷阵雨/多云","30℃/24℃","南风≤3级/东风≤3级","ZD111"
"2015年08月09日","晴/多云","32℃/24℃","东风≤3级/东风≤3级","ZD111"
"2015年08月10日","多云/多云","32℃/22℃","东风≤3级/东风≤3级","ZD111"
"2015年08月11日","多云/多云","32℃/22℃","东北风≤3级/北风≤3级","ZD111"
"2015年08月12日","晴/多云","33℃/23℃","北风≤3级/南风≤3级","ZD111"
"2015年08月13日","晴/多云","34℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年08月14日","中雨/中雨","32℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年08月15日","多云/多云","30℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年08月16日","晴/多云","32℃/24℃","南风≤3级/南风≤3级","ZD111"
"2015年08月17日","多云/多云","32℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年08月18日","多云/多云","32℃/23℃","南风≤3级/南风≤3级","ZD111"
"2015年08月19日","多云/多云","29℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年08月20日","多云/多云","30℃/21℃","南风≤3级/南风≤3级","ZD111"
"2015年08月21日","晴/多云","32℃/22℃","南风≤3级/南风≤3级","ZD111"
"2015年08月22日","雷阵雨/多云","31℃/21℃","南风≤3级/南风≤3级","ZD111"
"2015年08月23日","雷阵雨/多云","30℃/20℃","东北风≤3级/北风≤3级","ZD111"
"2015年08月24日","雷阵雨/多云","28℃/20℃","北风≤3级/北风≤3级","ZD111"
"2015年08月25日","雷阵雨/多云","28℃/20℃","北风≤3级/北风≤3级","ZD111"
"2015年08月26日","雷阵雨/雷阵雨","28℃/20℃","北风≤3级/北风≤3级","ZD111"
"2015年08月27日","雷阵雨/多云","29℃/19℃","北风≤3级/南风≤3级","ZD111"
"2015年08月28日","多云/多云","30℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年08月29日","雷阵雨/多云","30℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年08月30日","晴/阴","30℃/21℃","南风≤3级/南风≤3级","ZD111"
"2015年08月31日","中雨/中到大雨","25℃/19℃","北风≤3级/东北风≤3级","ZD111"
"2015年09月01日","中雨/雷阵雨","24℃/18℃","东北风≤3级/北风≤3级","ZD111"
"2015年09月02日","多云/多云","27℃/18℃","北风≤3级/北风≤3级","ZD111"
"2015年09月03日","晴/多云","29℃/20℃","北风≤3级/南风≤3级","ZD111"
"2015年09月04日","雷阵雨/雷阵雨","27℃/19℃","南风≤3级/东北风≤3级","ZD111"
"2015年09月05日","小雨/小雨","26℃/19℃","东北风≤3级/东北风≤3级","ZD111"
"2015年09月06日","多云/多云","26℃/16℃","北风≤3级/东北风≤3级","ZD111"
"2015年09月07日","晴/晴","28℃/18℃","东北风≤3级/北风≤3级","ZD111"
"2015年09月08日","多云/多云","28℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年09月09日","多云/小雨","26℃/19℃","北风≤3级/东北风≤3级","ZD111"
"2015年09月10日","多云/小雨","25℃/17℃","东北风≤3级/东北风≤3级","ZD111"
"2015年09月11日","阴/阴","22℃/14℃","北风≤3级/北风3-4级","ZD111"
"2015年09月12日","多云/晴","23℃/13℃","北风3-4级/南风≤3级","ZD111"
"2015年09月13日","晴/多云","26℃/18℃","南风≤3级/南风≤3级","ZD111"
"2015年09月14日","晴/多云","26℃/17℃","南风≤3级/东南风≤3级","ZD111"
"2015年09月15日","多云/晴","26℃/17℃","东南风≤3级/南风≤3级","ZD111"
"2015年09月16日","晴/多云","27℃/19℃","北风≤3级/南风≤3级","ZD111"
"2015年09月17日","多云/多云","27℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年09月18日","多云/晴","27℃/18℃","南风≤3级/北风≤3级","ZD111"
"2015年09月19日","晴/晴","29℃/18℃","东北风≤3级/北风≤3级","ZD111"
"2015年09月20日","晴/晴","29℃/18℃","南风≤3级/南风≤3级","ZD111"
"2015年09月21日","晴/多云","29℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年09月22日","多云/阴","28℃/19℃","南风3-4级/南风≤3级","ZD111"
"2015年09月23日","多云/多云","28℃/20℃","南风≤3级/南风≤3级","ZD111"
"2015年09月24日","多云/多云","27℃/19℃","东风≤3级/南风≤3级","ZD111"
"2015年09月25日","多云/晴","27℃/16℃","北风≤3级/北风≤3级","ZD111"
"2015年09月26日","晴/晴","28℃/18℃","南风≤3级/南风≤3级","ZD111"
"2015年09月27日","晴/晴","30℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年09月28日","多云/多云","25℃/18℃","北风≤3级/北风≤3级","ZD111"
"2015年09月29日","多云/多云","25℃/17℃","东北风3-4级/北风≤3级","ZD111"
"2015年09月30日","多云/小雨","26℃/16℃","南风≤3级/西北风3-4级","ZD111"
"2015年10月01日","晴/晴","22℃/14℃","西北风4-5级/南风≤3级","ZD111"
"2015年10月02日","晴/晴","26℃/14℃","南风≤3级/南风≤3级","ZD111"
"2015年10月03日","晴/晴","27℃/17℃","南风≤3级/南风≤3级","ZD111"
"2015年10月04日","多云/多云","28℃/18℃","南风≤3级/南风≤3级","ZD111"
"2015年10月05日","晴/晴","28℃/17℃","南风≤3级/南风≤3级","ZD111"
"2015年10月06日","多云/阴","27℃/19℃","南风≤3级/南风≤3级","ZD111"
"2015年10月07日","多云/多云","25℃/14℃","南风≤3级/南风≤3级","ZD111"
"2015年10月08日","晴/晴","20℃/11℃","北风3-4级/南风≤3级","ZD111"
"2015年10月09日","晴/晴","23℃/10℃","南风3-4级/南风≤3级","ZD111"
"2015年10月10日","晴/晴","17℃/8℃","北风3-4级/北风≤3级","ZD111"
"2015年10月11日","晴/晴","21℃/10℃","北风3-4级/北风≤3级","ZD111"
"2015年10月12日","晴/晴","23℃/12℃","北风≤3级/南风≤3级","ZD111"
"2015年10月13日","晴/多云","26℃/16℃","南风≤3级/南风≤3级","ZD111"
"2015年10月14日","多云/多云","25℃/17℃","南风3-4级/南风≤3级","ZD111"
"2015年10月15日","晴/晴","26℃/13℃","北风≤3级/南风≤3级","ZD111"
"2015年10月16日","晴/晴","28℃/17℃","南风≤3级/南风≤3级","ZD111"
"2015年10月17日","晴/多云","28℃/17℃","南风3-4级/南风≤3级","ZD111"
"2015年10月18日","多云/阴","24℃/14℃","北风3-4级/北风3-4级","ZD111"
"2015年10月19日","多云/多云","25℃/15℃","南风≤3级/南风≤3级","ZD111"
"2015年10月20日","多云/霾","25℃/15℃","南风≤3级/南风≤3级","ZD111"
"2015年10月21日","晴/多云","25℃/13℃","南风≤3级/北风3-4级","ZD111"
"2015年10月22日","多云/阴","20℃/13℃","北风≤3级/北风≤3级","ZD111"
"2015年10月23日","阴/阴","18℃/11℃","南风≤3级/北风≤3级","ZD111"
"2015年10月24日","多云/多云","19℃/11℃","北风3-4级/东北风3-4级","ZD111"
"2015年10月25日","多云/小雨","17℃/11℃","东北风3-4级/西南风≤3级","ZD111"
"2015年10月26日","小雨/多云","16℃/6℃","北风≤3级/北风≤3级","ZD111"
"2015年10月27日","晴/晴","17℃/7℃","南风≤3级/南风≤3级","ZD111"
"2015年10月28日","晴/晴","19℃/8℃","南风≤3级/北风≤3级","ZD111"
"2015年10月29日","晴/晴","14℃/4℃","北风≤3级/北风≤3级","ZD111"
"2015年10月30日","晴/晴","13℃/3℃","北风≤3级/南风≤3级","ZD111"
"2015年10月31日","多云/阵雨","15℃/8℃","南风≤3级/南风≤3级","ZD111"
"2015年11月01日","阴/晴","15℃/7℃","南风≤3级/南风≤3级","ZD111"
"2015年11月02日","晴/晴","19℃/11℃","南风≤3级/南风3-4级","ZD111"
"2015年11月03日","晴/晴","20℃/12℃","南风3-4级/南风3-4级","ZD111"
"2015年11月04日","晴/多云","19℃/9℃","南风≤3级/南风≤3级","ZD111"
"2015年11月05日","小雨/中雨","18℃/6℃","东北风3-4级/东北风4-5级","ZD111"
"2015年11月06日","中雨/小雨","9℃/5℃","东北风4-5级/东北风3-4级","ZD111"
"2015年11月07日","小雨/小雨","9℃/5℃","东北风3-4级/东北风3-4级","ZD111"
"2015年11月08日","阵雨/阴","10℃/3℃","北风3-4级/北风≤3级","ZD111"
"2015年11月09日","晴/晴","14℃/3℃","北风≤3级/南风≤3级","ZD111"
"2015年11月10日","多云/雾","13℃/4℃","南风≤3级/东风≤3级","ZD111"
"2015年11月11日","霾/霾","10℃/5℃","东风≤3级/东风≤3级","ZD111"
