日期：2016/3/21
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
ZD250,,7157,2639,137,1080,564,66,,,,,,,,11643
ZD062,,452,379,18,132,28,,918,,,,,,,1927
ZD120,,136,42,,21,,,88,,,,,,,287
ZD121,,163,100,5,23,,2,33,3,,,,,,329
ZD143,,27,19,,10,,,14,,4,,,,,74
ZD370,,,,,,,,,,,,,,,0
ZD190,,11967,5445,203,1985,503,71,2408,1095,171,40,60,,,23948
上车人数合计,,73910,12780,491,3524,1095,139,3461,1098,175,40,60,0,0,96773



日期：2016/3/24
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9287,,,,,,,,,,,,,9287
ZD311,,149,566,,,,,,,,,,,,715
ZD326,,5990,2825,114,,,,,,,,,,,8929
ZD192,,1186,854,32,259,,,,,,,,,,2331
ZD022,,35,84,5,35,,,,,,,,,,159
ZD250,,7226,2848,125,1118,547,66,,,,,,,,11930
ZD062,,455,380,16,132,28,,927,,,,,,,1938
ZD120,,147,43,,25,,,99,,,,,,,314
ZD121,,163,101,5,21,,2,33,3,,,,,,328
ZD143,,29,19,,12,,,17,,6,,,,,83
ZD370,,,,,,,,,,,,,,,0
ZD190,,11982,5444,202,1969,494,65,2580,1158,178,39,63,,,24174
上车人数合计,,74353,13164,499,3571,1069,133,3656,1161,184,39,63,0,0,97892



日期：2016/3/25
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9528,,,,,,,,,,,,,9528
ZD311,,168,650,,,,,,,,,,,,818
ZD326,,5972,3232,130,,,,,,,,,,,9334
ZD192,,1190,866,32,277,,,,,,,,,,2365
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7271,3331,133,1237,540,66,,,,,,,,12578
ZD062,,456,380,17,132,28,,917,,,,,,,1930
ZD120,,145,46,,23,,,96,,,,,,,310
ZD121,,163,101,5,20,,2,33,3,,,,,,327
ZD143,,29,19,,12,,,16,,7,,,,,83
ZD370,,,,,,,,,,,,,,,0
ZD190,,12095,5435,201,1960,488,59,2707,1191,181,39,63,,,24419
上车人数合计,,74756,14144,523,3695,1056,127,3769,1194,188,39,63,0,0,99554



日期：2016/3/26
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9079,,,,,,,,,,,,,9079
ZD311,,173,807,,,,,,,,,,,,980
ZD326,,5959,3143,124,,,,,,,,,,,9226
ZD192,,1192,858,32,280,,,,,,,,,,2362
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7300,3369,126,1211,537,66,,,,,,,,12609
ZD062,,457,381,16,132,28,,909,,,,,,,1923
ZD120,,139,47,,25,,,73,,,,,,,284
ZD121,,162,101,5,20,,2,33,3,,,,,,326
ZD143,,28,19,,12,,,16,,7,,,,,82
ZD370,,,,,,,,,,,,,,,0
ZD190,,12014,5433,201,1955,484,66,2732,1200,182,39,61,,,24367
上车人数合计,,74242,14242,509,3669,1049,134,3763,1203,189,39,61,0,0,99100



日期：2016/3/27
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9615,,,,,,,,,,,,,9615
ZD311,,162,817,,,,,,,,,,,,979
ZD326,,5945,3184,102,,,,,,,,,,,9231
ZD192,,1192,863,32,268,,,,,,,,,,2355
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7319,3466,129,1149,536,66,,,,,,,,12665
ZD062,,457,381,17,133,29,,907,,,,,,,1924
ZD120,,134,47,,24,,,57,,,,,,,262
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,29,19,,12,,,16,,5,,,,,81
ZD370,,,,,,,,,,,,,,,0
ZD190,,11967,5431,201,1951,482,71,2676,1198,182,39,61,,,24259
上车人数合计,,74721,14393,491,3590,1047,139,3689,1201,187,39,61,0,0,99558



日期：2016/3/28
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9050,,,,,,,,,,,,,9050
ZD311,,145,689,,,,,,,,,,,,834
ZD326,,5933,2744,79,,,,,,,,,,,8756
ZD192,,1193,860,32,254,,,,,,,,,,2339
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7331,3032,125,1041,536,66,,,,,,,,12131
ZD062,,457,381,16,133,29,,907,,,,,,,1923
ZD120,,139,48,,24,,,52,,,,,,,263
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,30,19,,12,,,16,,3,,,,,80
ZD370,,,,,,,,,,,,,,,0
ZD190,,11912,5430,200,1950,480,64,2623,1192,181,38,60,,,24130
上车人数合计,,74091,13388,462,3467,1045,132,3631,1195,184,38,60,0,0,97693



日期：2016/3/29
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9519,,,,,,,,,,,,,9519
ZD311,,138,612,,,,,,,,,,,,750
ZD326,,5921,2684,72,,,,,,,,,,,8677
ZD192,,1193,862,32,249,,,,,,,,,,2336
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7339,2860,126,995,535,66,,,,,,,,11921
ZD062,,457,381,17,133,29,,908,,,,,,,1925
ZD120,,146,49,,24,,,68,,,,,,,287
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,31,19,,12,,,16,,3,,,,,81
ZD370,,,,,,,,,,,,,,,0
ZD190,,11891,5429,200,1949,479,64,2608,1188,181,38,61,,,24088
上车人数合计,,74536,13081,457,3415,1043,132,3633,1191,184,38,61,0,0,97771



日期：2016/3/30
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9194,,,,,,,,,,,,,9194
ZD311,,145,614,,,,,,,,,,,,759
ZD326,,5910,2657,85,,,,,,,,,,,8652
ZD192,,1193,860,32,255,,,,,,,,,,2340
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7344,2755,125,1027,535,66,,,,,,,,11852
ZD062,,457,381,16,133,29,,909,,,,,,,1925
ZD120,,146,48,,24,,,88,,,,,,,306
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,31,19,,12,,,16,,5,,,,,83
ZD370,,,,,,,,,,,,,,,0
ZD190,,11899,5429,200,1948,479,70,2626,1185,181,38,61,,,24116
上车人数合计,,74220,12948,468,3452,1043,138,3672,1188,186,38,61,0,0,97414



日期：2016/3/31
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9311,,,,,,,,,,,,,9311
ZD311,,158,625,,,,,,,,,,,,783
ZD326,,5900,2885,109,,,,,,,,,,,8894
ZD192,,1193,862,32,265,,,,,,,,,,2352
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7347,2926,125,1115,535,66,,,,,,,,12114
ZD062,,457,382,16,133,29,,909,,,,,,,1926
ZD120,,139,49,,24,,,100,,,,,,,312
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,31,19,,12,,,16,,6,,,,,84
ZD370,,,,,,,,,,,,,,,0
ZD190,,11913,5429,200,1948,478,67,2647,1184,181,38,61,,,24146
上车人数合计,,74350,13362,492,3550,1042,135,3705,1187,187,38,61,0,0,98109



日期：2016/4/1
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37704,,,,,,,,,,,,,37704
ZD111,,9393,,,,,,,,,,,,,9393
ZD311,,166,670,,,,,,,,,,,,836
ZD326,,5891,3191,125,,,,,,,,,,,9207
ZD192,,1193,861,32,270,,,,,,,,,,2356
ZD022,,35,84,5,34,,,,,,,,,,158
ZD250,,7349,3314,125,1187,535,66,,,,,,,,12576
ZD062,,457,382,16,133,29,,909,,,,,,,1926
ZD120,,136,49,,24,,,93,,,,,,,302
ZD121,,162,101,5,19,,2,33,3,,,,,,325
ZD143,,32,19,,12,,,16,,7,,,,,86
ZD370,,,,,,,,,,,,,,,0
ZD190,,11931,5429,200,1947,478,63,2655,1184,181,38,61,,,24167
上车人数合计,,74449,14100,508,3626,1042,131,3706,1187,188,38,61,0,0,99036



日期：2016/4/2
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,43401,,,,,,,,,,,,,43401
ZD111,,10390,,,,,,,,,,,,,10390
ZD311,,107,618,,,,,,,,,,,,725
ZD326,,6396,2808,125,,,,,,,,,,,9329
ZD192,,916,721,35,279,,,,,,,,,,1951
ZD022,,30,132,7,39,,,,,,,,,,208
ZD250,,7374,2665,158,1221,587,101,,,,,,,,12106
ZD062,,430,397,23,162,41,,855,,,,,,,1908
ZD120,,192,77,,29,,,81,,,,,,,379
ZD121,,189,78,8,29,,3,46,5,,,,,,358
ZD143,,81,42,,21,,,24,,6,,,,,174
ZD370,,,,,,,,,,,,,,,0
ZD190,,23301,7713,365,3503,854,139,4166,2423,232,86,98,,,42880
上车人数合计,,92807,15251,721,5283,1482,243,5172,2428,238,86,98,0,0,123809



日期：2016/4/3
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,43174,,,,,,,,,,,,,43174
ZD111,,9270,,,,,,,,,,,,,9270
ZD311,,127,694,,,,,,,,,,,,821
ZD326,,6112,2819,132,,,,,,,,,,,9063
ZD192,,916,777,35,295,,,,,,,,,,2023
ZD022,,30,132,7,43,,,,,,,,,,212
ZD250,,7063,2728,158,1221,628,89,,,,,,,,11887
ZD062,,423,463,23,176,41,,881,,,,,,,2007
ZD120,,109,70,,34,,,81,,,,,,,294
ZD121,,189,62,8,26,,3,41,4,,,,,,333
ZD143,,58,34,,21,,,24,,7,,,,,144
ZD370,,,,,,,,,,,,,,,0
ZD190,,20501,7098,303,2940,854,140,3820,2253,238,97,112,,,38356
上车人数合计,,87972,14877,666,4756,1523,232,4847,2257,245,97,112,0,0,117584



