TrainNum,RecordDate,OriginStation,TerminalStation,MaxCount,LoadFactors
K10,2015-10-02,ZD056,ZD190-01,1122,79.8
K08,2015-10-02,ZD170,ZD190-01,1318,88.1
G22,2015-10-02,ZD203,ZD190-01,960,82.2
Z01,2015-10-02,ZD071,ZD190-01,930,114.8
T01,2015-10-02,ZD212,ZD190-01,1090,108.1
G26,2015-10-02,ZD072,ZD190-01,1005,67.7
G28,2015-10-02,ZD316,ZD190-01,1005,85.7
K03,2015-10-02,ZD174,ZD190-01,1316,68.4
K07,2015-10-02,ZD029,ZD190-01,1332,96.0
G29,2015-10-02,ZD321,ZD190-01,480,91.5
K01,2015-10-02,ZD142,ZD190-01,1225,99.4
K06,2015-10-02,ZD299,ZD190-01,1246,97.9
Z02,2015-10-02,ZD267,ZD190-01,1194,101.5
K11,2015-10-03,ZD074,ZD190-02,1285,109.5
G01,2015-10-03,ZD075,ZD190-02,1112,77.3
G02,2015-10-03,ZD075,ZD190-02,556,86.3
K17,2015-10-03,ZD004,ZD190-02,1270,81.4
K18,2015-10-03,ZD246,ZD190-02,1200,98.2
K02,2015-10-03,ZD291,ZD190-02,1061,100.2
G03,2015-10-03,ZD313,ZD190-02,1102,85.9
Z03,2015-10-03,ZD012,ZD190-02,1349,126.7
G04,2015-10-03,ZD242,ZD190-01,556,98.6
G05,2015-10-03,ZD242,ZD190-01,556,94.9
G06,2015-10-03,ZD013,ZD190-01,1015,98.3
G07,2015-10-03,ZD013,ZD190-01,1015,99.0
G08,2015-10-03,ZD013,ZD190-01,1015,98.2
G09,2015-10-03,ZD013,ZD190-01,1015,97.4
G10,2015-10-03,ZD013,ZD190-01,1112,96.0
G11,2015-10-03,ZD013,ZD190-01,1112,91.7
G12,2015-10-03,ZD013,ZD190-01,1112,97.7
G13,2015-10-03,ZD013,ZD190-01,1005,94.0
G14,2015-10-03,ZD013,ZD190-01,1112,88.0
G15,2015-10-03,ZD013,ZD190-01,1112,90.3
G16,2015-10-03,ZD013,ZD190-01,1112,87.5
G17,2015-10-03,ZD013,ZD190-01,1112,83.4
K15,2015-10-03,ZD230,ZD190-01,1263,116.5
K12,2015-10-03,ZD007,ZD190-01,1148,96.7
K04,2015-10-03,ZD273,ZD190-02,1194,97.9
G25,2015-10-03,ZD261,ZD190-01,1061,92.5
K16,2015-10-03,ZD266,ZD190-01,1260,102.9
D02,2015-10-03,ZD111-01,ZD190-01,1112,97.9
D03,2015-10-03,ZD190-01,ZD111-01,1226,36.1
D04,2015-10-03,ZD111-03,ZD190-01,586,104.8
D05,2015-10-03,ZD190-01,ZD111-01,1172,34.9
D06,2015-10-03,ZD111-01,ZD190-01,1172,109.2
D07,2015-10-03,ZD190-01,ZD111-01,1226,59.4
D08,2015-10-03,ZD111-01,ZD190-02,586,107.1
D09,2015-10-03,ZD190-01,ZD111-01,586,83.2
D10,2015-10-03,ZD111-01,ZD190-01,1172,102.0
D11,2015-10-03,ZD190-01,ZD111-01,586,72.6
D12,2015-10-03,ZD111-01,ZD190-01,586,96.4
D13,2015-10-03,ZD190-01,ZD111-01,1172,88.5
D14,2015-10-03,ZD111-01,ZD190-01,1226,85.9
D15,2015-10-03,ZD190-02,ZD111-03,586,77.9
D16,2015-10-03,ZD111-01,ZD190-01,613,52.6
D17,2015-10-03,ZD190-01,ZD111-03,1112,74.1
D18,2015-10-03,ZD111-01,ZD190-01,613,78.9
D19,2015-10-03,ZD190-01,ZD111-03,586,73.7
D20,2015-10-03,ZD111-01,ZD190-02,586,91.4
D49,2015-10-03,ZD111-02,ZD190-02,556,79.7
D50,2015-10-03,ZD190-02,ZD111-02,556,61.8
T02,2015-10-03,ZD181,ZD190-02,378,58.2
T03,2015-10-03,ZD190-01,ZD181,378,34.2
T04,2015-10-03,ZD181,ZD190-01,378,27.7
T05,2015-10-03,ZD190-02,ZD181,378,40.7
G18,2015-10-03,ZD209,ZD190-01,1005,79.4
G19,2015-10-03,ZD209,ZD190-01,1005,89.0
G20,2015-10-03,ZD209,ZD190-01,1005,90.6
G21,2015-10-03,ZD209,ZD190-01,1112,64.4
G23,2015-10-03,ZD082,ZD190-01,610,94.0
G24,2015-10-03,ZD080,ZD190-01,1005,68.3
G27,2015-10-03,ZD080,ZD190-01,1112,63.7
K10,2015-10-03,ZD056,ZD190-01,1122,72.9
K08,2015-10-03,ZD170,ZD190-01,1318,89.1
G22,2015-10-03,ZD203,ZD190-01,960,78.9
Z01,2015-10-03,ZD071,ZD190-01,930,102.2
T01,2015-10-03,ZD212,ZD190-01,1090,107.2
G26,2015-10-03,ZD072,ZD190-01,1005,66.3
G28,2015-10-03,ZD316,ZD190-01,1005,79.8
K03,2015-10-03,ZD174,ZD190-01,1316,60.1
K07,2015-10-03,ZD029,ZD190-01,1332,93.0
G29,2015-10-03,ZD321,ZD190-01,480,81.4
K01,2015-10-03,ZD142,ZD190-01,1225,100.2
K06,2015-10-03,ZD299,ZD190-01,1246,109.7
Z02,2015-10-03,ZD267,ZD190-01,1194,100.8
K11,2015-10-04,ZD074,ZD190-02,1285,105.3
G01,2015-10-04,ZD075,ZD190-02,1112,74.6
G02,2015-10-04,ZD075,ZD190-02,556,85.3
K17,2015-10-04,ZD004,ZD190-02,1270,84.1
K18,2015-10-04,ZD246,ZD190-02,1200,94.9
K02,2015-10-04,ZD291,ZD190-02,1061,98.9
G03,2015-10-04,ZD313,ZD190-02,1102,88.0
Z03,2015-10-04,ZD012,ZD190-02,1349,116.1
G04,2015-10-04,ZD242,ZD190-01,556,92.3
G05,2015-10-04,ZD242,ZD190-01,556,92.2
G06,2015-10-04,ZD013,ZD190-01,1015,92.0
G07,2015-10-04,ZD013,ZD190-01,1015,95.7
G08,2015-10-04,ZD013,ZD190-01,1015,95.1
G09,2015-10-04,ZD013,ZD190-01,1015,91.5
G10,2015-10-04,ZD013,ZD190-01,1112,96.9
G11,2015-10-04,ZD013,ZD190-01,1112,81.9
G12,2015-10-04,ZD013,ZD190-01,1112,92.7
G13,2015-10-04,ZD013,ZD190-01,1005,88.7
G14,2015-10-04,ZD013,ZD190-01,1112,92.6
G15,2015-10-04,ZD013,ZD190-01,1112,87.7
G16,2015-10-04,ZD013,ZD190-01,1112,81.8
G17,2015-10-04,ZD013,ZD190-01,1112,86.1
K15,2015-10-04,ZD230,ZD190-01,1263,116.5
K12,2015-10-04,ZD007,ZD190-01,1148,93.4
K04,2015-10-04,ZD273,ZD190-02,1194,99.0
G25,2015-10-04,ZD261,ZD190-01,1061,90.4
K16,2015-10-04,ZD266,ZD190-01,1260,107.8
D02,2015-10-04,ZD111-01,ZD190-01,1112,93.1
D03,2015-10-04,ZD190-01,ZD111-01,613,60.0
D04,2015-10-04,ZD111-03,ZD190-01,586,98.8
D05,2015-10-04,ZD190-01,ZD111-01,1172,58.4
D06,2015-10-04,ZD111-01,ZD190-01,1172,107.1
D07,2015-10-04,ZD190-01,ZD111-01,1226,81.0
D08,2015-10-04,ZD111-01,ZD190-02,586,104.4
D09,2015-10-04,ZD190-01,ZD111-01,586,91.8
D10,2015-10-04,ZD111-01,ZD190-01,1172,106.0
D11,2015-10-04,ZD190-01,ZD111-01,586,68.8
D12,2015-10-04,ZD111-01,ZD190-01,586,98.4
D13,2015-10-04,ZD190-01,ZD111-01,1172,91.7
D14,2015-10-04,ZD111-01,ZD190-01,1226,95.9
D15,2015-10-04,ZD190-02,ZD111-03,586,102.3
D16,2015-10-04,ZD111-01,ZD190-01,613,58.2
D17,2015-10-04,ZD190-01,ZD111-03,1112,96.1
D18,2015-10-04,ZD111-01,ZD190-01,1226,66.7
D19,2015-10-04,ZD190-01,ZD111-03,586,91.4
D20,2015-10-04,ZD111-01,ZD190-02,586,83.8
D49,2015-10-04,ZD111-02,ZD190-02,556,46.4
D50,2015-10-04,ZD190-02,ZD111-02,556,75.7
T02,2015-10-04,ZD181,ZD190-02,378,57.5
T03,2015-10-04,ZD190-01,ZD181,378,26.3
T04,2015-10-04,ZD181,ZD190-01,378,31.2
T05,2015-10-04,ZD190-02,ZD181,378,31.8
G18,2015-10-04,ZD209,ZD190-01,1005,72.1
G19,2015-10-04,ZD209,ZD190-01,1005,86.6
G20,2015-10-04,ZD209,ZD190-01,1005,88.1
G21,2015-10-04,ZD209,ZD190-01,1112,67.0
G23,2015-10-04,ZD082,ZD190-01,610,90.6
G24,2015-10-04,ZD080,ZD190-01,1005,62.9
G27,2015-10-04,ZD080,ZD190-01,1112,73.8
K10,2015-10-04,ZD056,ZD190-01,1122,74.6
K08,2015-10-04,ZD170,ZD190-01,1318,84.6
G22,2015-10-04,ZD203,ZD190-01,960,82.6
Z01,2015-10-04,ZD071,ZD190-01,930,101.6
T01,2015-10-04,ZD212,ZD190-01,1090,94.8
G26,2015-10-04,ZD072,ZD190-01,1005,52.9
G28,2015-10-04,ZD316,ZD190-01,1005,80.7
K03,2015-10-04,ZD174,ZD190-01,1316,66.2
K07,2015-10-04,ZD029,ZD190-01,1332,98.2
G29,2015-10-04,ZD321,ZD190-01,480,85.0
K01,2015-10-04,ZD142,ZD190-01,1225,102.5
K06,2015-10-04,ZD299,ZD190-01,1246,104.1
Z02,2015-10-04,ZD267,ZD190-01,1194,103.3
K11,2015-10-05,ZD074,ZD190-02,1264,117.2
G01,2015-10-05,ZD075,ZD190-02,1112,80.0
G02,2015-10-05,ZD075,ZD190-02,556,87.9
K17,2015-10-05,ZD004,ZD190-02,1270,93.4
K18,2015-10-05,ZD246,ZD190-02,1200,107.3
K02,2015-10-05,ZD291,ZD190-02,1061,105.8
G03,2015-10-05,ZD313,ZD190-02,1102,86.4
Z03,2015-10-05,ZD012,ZD190-02,1349,113.3
G04,2015-10-05,ZD242,ZD190-01,556,91.2
G05,2015-10-05,ZD242,ZD190-01,556,82.5
G06,2015-10-05,ZD013,ZD190-01,1015,86.2
G07,2015-10-05,ZD013,ZD190-01,1015,92.8
G08,2015-10-05,ZD013,ZD190-01,1015,96.6
G09,2015-10-05,ZD013,ZD190-01,1015,91.2
G10,2015-10-05,ZD013,ZD190-01,1112,91.0
G11,2015-10-05,ZD013,ZD190-01,1112,82.7
G12,2015-10-05,ZD013,ZD190-01,1112,92.8
G13,2015-10-05,ZD013,ZD190-01,1005,91.1
G14,2015-10-05,ZD013,ZD190-01,1112,85.6
G15,2015-10-05,ZD013,ZD190-01,1112,82.2
G16,2015-10-05,ZD013,ZD190-01,1112,81.3
G17,2015-10-05,ZD013,ZD190-01,1112,86.7
K15,2015-10-05,ZD230,ZD190-01,1263,117.9
K12,2015-10-05,ZD007,ZD190-01,1148,96.6
K04,2015-10-05,ZD273,ZD190-02,1194,106.0
G25,2015-10-05,ZD261,ZD190-01,1061,96.6
K16,2015-10-05,ZD266,ZD190-01,1260,116.9
D02,2015-10-05,ZD111-01,ZD190-01,1112,82.2
D03,2015-10-05,ZD190-01,ZD111-01,1226,56.5
D04,2015-10-05,ZD111-03,ZD190-01,586,94.7
D05,2015-10-05,ZD190-01,ZD111-01,1172,73.6
D06,2015-10-05,ZD111-01,ZD190-01,1172,107.3
D07,2015-10-05,ZD190-01,ZD111-01,1226,88.0
D08,2015-10-05,ZD111-01,ZD190-02,586,110.0
D09,2015-10-05,ZD190-01,ZD111-01,586,96.2
D10,2015-10-05,ZD111-01,ZD190-01,1172,104.0
D11,2015-10-05,ZD190-01,ZD111-01,586,96.9
D12,2015-10-05,ZD111-01,ZD190-01,586,91.8
D13,2015-10-05,ZD190-01,ZD111-01,1172,99.1
D14,2015-10-05,ZD111-01,ZD190-01,1226,76.1
D15,2015-10-05,ZD190-02,ZD111-03,586,96.0
D16,2015-10-05,ZD111-01,ZD190-01,613,39.1
D17,2015-10-05,ZD190-01,ZD111-03,1112,98.5
D18,2015-10-05,ZD111-01,ZD190-01,613,66.9
D19,2015-10-05,ZD190-01,ZD111-03,586,97.5
D20,2015-10-05,ZD111-01,ZD190-02,586,77.8
D49,2015-10-05,ZD111-02,ZD190-02,556,19.8
D50,2015-10-05,ZD190-02,ZD111-02,556,77.7
T02,2015-10-05,ZD181,ZD190-02,378,52.4
T03,2015-10-05,ZD190-01,ZD181,378,22.1
T04,2015-10-05,ZD181,ZD190-01,378,32.9
T05,2015-10-05,ZD190-02,ZD181,378,25.8
G18,2015-10-05,ZD209,ZD190-01,1005,71.6
G19,2015-10-05,ZD209,ZD190-01,1005,89.6
G20,2015-10-05,ZD209,ZD190-01,1005,89.0
G21,2015-10-05,ZD209,ZD190-01,1112,78.8
G23,2015-10-05,ZD082,ZD190-01,610,91.2
G24,2015-10-05,ZD080,ZD190-01,1005,73.0
G27,2015-10-05,ZD080,ZD190-01,1112,85.9
K10,2015-10-05,ZD056,ZD190-01,1122,77.0
K08,2015-10-05,ZD170,ZD190-01,1318,92.9
G22,2015-10-05,ZD203,ZD190-01,960,83.3
Z01,2015-10-05,ZD071,ZD190-01,930,97.2
T01,2015-10-05,ZD212,ZD190-01,1090,96.1
G26,2015-10-05,ZD072,ZD190-01,1005,66.2
G28,2015-10-05,ZD316,ZD190-01,1005,88.6
K03,2015-10-05,ZD174,ZD190-01,1316,72.9
K07,2015-10-05,ZD029,ZD190-01,1332,107.1
G29,2015-10-05,ZD321,ZD190-01,480,87.3
K01,2015-10-05,ZD142,ZD190-01,1225,106.4
K06,2015-10-05,ZD299,ZD190-01,1246,116.0
Z02,2015-10-05,ZD267,ZD190-01,1194,111.2
K11,2015-10-06,ZD074,ZD190-02,1285,130.5
G01,2015-10-06,ZD075,ZD190-02,1112,91.7
G02,2015-10-06,ZD075,ZD190-02,556,89.5
K17,2015-10-06,ZD004,ZD190-02,1270,104.9
K18,2015-10-06,ZD246,ZD190-02,1200,112.7
K02,2015-10-06,ZD291,ZD190-02,1061,110.8
G03,2015-10-06,ZD313,ZD190-02,1102,92.4
Z03,2015-10-06,ZD012,ZD190-02,1349,113.1
G04,2015-10-06,ZD242,ZD190-01,556,94.2
G05,2015-10-06,ZD242,ZD190-01,556,93.6
G06,2015-10-06,ZD013,ZD190-01,1015,80.3
G07,2015-10-06,ZD013,ZD190-01,1015,93.5
G08,2015-10-06,ZD013,ZD190-01,1015,94.7
G09,2015-10-06,ZD013,ZD190-01,1015,91.4
G10,2015-10-06,ZD013,ZD190-01,1112,91.2
G11,2015-10-06,ZD013,ZD190-01,1112,80.8
G12,2015-10-06,ZD013,ZD190-01,1112,91.8
G13,2015-10-06,ZD013,ZD190-01,1005,91.2
G14,2015-10-06,ZD013,ZD190-01,1112,91.6
G15,2015-10-06,ZD013,ZD190-01,1112,86.2
G16,2015-10-06,ZD013,ZD190-01,1112,80.5
G17,2015-10-06,ZD013,ZD190-01,1112,82.9
K15,2015-10-06,ZD230,ZD190-01,1263,120.9
K12,2015-10-06,ZD007,ZD190-01,1148,101.4
K04,2015-10-06,ZD273,ZD190-02,1194,112.6
G25,2015-10-06,ZD261,ZD190-01,1061,97.8
K16,2015-10-06,ZD266,ZD190-01,1260,117.3
D02,2015-10-06,ZD111-01,ZD190-01,1112,77.8
D03,2015-10-06,ZD190-01,ZD111-01,613,68.1
D04,2015-10-06,ZD111-03,ZD190-01,586,88.5
D05,2015-10-06,ZD190-01,ZD111-01,1172,78.0
D06,2015-10-06,ZD111-01,ZD190-01,1172,103.5
D07,2015-10-06,ZD190-01,ZD111-01,1226,88.7
D08,2015-10-06,ZD111-01,ZD190-02,586,106.5
D09,2015-10-06,ZD190-01,ZD111-01,586,96.9
D10,2015-10-06,ZD111-01,ZD190-01,1172,103.7
D11,2015-10-06,ZD190-01,ZD111-01,586,99.9
D12,2015-10-06,ZD111-01,ZD190-01,586,97.9
D13,2015-10-06,ZD190-01,ZD111-01,1172,99.4
D14,2015-10-06,ZD111-01,ZD190-01,1226,100.3
D15,2015-10-06,ZD190-02,ZD111-03,586,100.2
D16,2015-10-06,ZD111-01,ZD190-01,613,57.3
D17,2015-10-06,ZD190-01,ZD111-03,1112,103.5
D18,2015-10-06,ZD111-01,ZD190-01,1226,45.6
D19,2015-10-06,ZD190-01,ZD111-03,586,101.8
D20,2015-10-06,ZD111-01,ZD190-02,586,70.5
D49,2015-10-06,ZD111-02,ZD190-02,556,42.3
D50,2015-10-06,ZD190-02,ZD111-02,556,83.0
T02,2015-10-06,ZD181,ZD190-02,378,52.2
T03,2015-10-06,ZD190-01,ZD181,378,20.2
T04,2015-10-06,ZD181,ZD190-01,378,44.7
T05,2015-10-06,ZD190-02,ZD181,378,26.5
G18,2015-10-06,ZD209,ZD190-01,1005,80.0
G19,2015-10-06,ZD209,ZD190-01,1005,90.4
G20,2015-10-06,ZD209,ZD190-01,1005,92.5
G21,2015-10-06,ZD209,ZD190-01,1112,83.1
G23,2015-10-06,ZD082,ZD190-01,610,93.7
G24,2015-10-06,ZD080,ZD190-01,1005,73.9
G27,2015-10-06,ZD080,ZD190-01,1112,88.5
K10,2015-10-06,ZD056,ZD190-01,1122,78.5
K08,2015-10-06,ZD170,ZD190-01,1318,100.1
G22,2015-10-06,ZD203,ZD190-01,960,91.6
Z01,2015-10-06,ZD071,ZD190-01,930,99.7
T01,2015-10-06,ZD212,ZD190-01,1090,104.3
G26,2015-10-06,ZD072,ZD190-01,1005,62.6
G28,2015-10-06,ZD316,ZD190-01,1005,94.9
K03,2015-10-06,ZD174,ZD190-01,1316,76.1
K07,2015-10-06,ZD029,ZD190-01,1332,99.8
G29,2015-10-06,ZD321,ZD190-01,480,95.3
K01,2015-10-06,ZD142,ZD190-01,1225,100.1
K06,2015-10-06,ZD299,ZD190-01,1246,121.4
Z02,2015-10-06,ZD267,ZD190-01,1194,107.5
K11,2015-10-07,ZD074,ZD190-02,1285,101.7
G01,2015-10-07,ZD075,ZD190-02,1112,97.2
G02,2015-10-07,ZD075,ZD190-02,556,88.7
K17,2015-10-07,ZD004,ZD190-02,1270,78.0
K18,2015-10-07,ZD246,ZD190-02,1200,85.0
K02,2015-10-07,ZD291,ZD190-02,1061,100.6
G03,2015-10-07,ZD313,ZD190-02,1102,93.1
D01,2015-10-07,ZD013,ZD190-02,610,53.3
Z03,2015-10-07,ZD012,ZD190-02,1349,94.1
G04,2015-10-07,ZD242,ZD190-01,556,98.2
G05,2015-10-07,ZD242,ZD190-01,1112,80.5
G06,2015-10-07,ZD013,ZD190-01,1015,84.6
G07,2015-10-07,ZD013,ZD190-01,1015,92.4
G08,2015-10-07,ZD013,ZD190-01,1015,94.1
G09,2015-10-07,ZD013,ZD190-01,1015,91.9
G10,2015-10-07,ZD013,ZD190-01,1112,87.8
G11,2015-10-07,ZD013,ZD190-01,1112,86.3
G12,2015-10-07,ZD013,ZD190-01,1112,88.8
G13,2015-10-07,ZD013,ZD190-01,1005,86.5
G14,2015-10-07,ZD013,ZD190-01,1112,94.2
G15,2015-10-07,ZD013,ZD190-01,1112,84.1
G16,2015-10-07,ZD013,ZD190-01,1112,77.8
G17,2015-10-07,ZD013,ZD190-01,1112,77.0
K15,2015-10-07,ZD230,ZD190-01,1263,114.8
K12,2015-10-07,ZD007,ZD190-01,1148,93.3
K04,2015-10-07,ZD273,ZD190-02,1194,98.7
G25,2015-10-07,ZD261,ZD190-01,1061,98.3
K16,2015-10-07,ZD266,ZD190-01,1260,95.1
D02,2015-10-07,ZD111-01,ZD190-01,1112,89.4
D03,2015-10-07,ZD190-01,ZD111-01,1226,70.5
D04,2015-10-07,ZD111-03,ZD190-01,586,86.9
D05,2015-10-07,ZD190-01,ZD111-01,1172,76.6
D06,2015-10-07,ZD111-01,ZD190-01,1172,106.6
D07,2015-10-07,ZD190-01,ZD111-01,1226,86.1
D08,2015-10-07,ZD111-01,ZD190-02,586,111.1
D09,2015-10-07,ZD190-01,ZD111-01,586,95.2
D10,2015-10-07,ZD111-01,ZD190-01,1172,105.4
D11,2015-10-07,ZD190-01,ZD111-01,586,100.5
D12,2015-10-07,ZD111-01,ZD190-01,586,111.0
D13,2015-10-07,ZD190-01,ZD111-01,1172,100.4
D14,2015-10-07,ZD111-01,ZD190-01,1226,100.6
D15,2015-10-07,ZD190-02,ZD111-03,586,100.8
